temperature,time_s,soc
0C,30.0,0.2
0C,30.5,0.2000000024602567
0C,31.0,0.20000000597877524
0C,31.5,0.20000000949729377
0C,32.0,0.20000001454144745
0C,32.5,0.20000002339968903
0C,33.0,0.2000000360720185
0C,33.5,0.2000000521831296
0C,34.0,0.20000006829424072
0C,34.5,0.20000008440535183
0C,35.0,0.20000010051646294
0C,35.5,0.20000011662757405
0C,36.0,0.20000020160639878
0C,36.5,0.2000003490138062
0C,37.0,0.20000049642121362
0C,37.5,0.20000064382862104
0C,38.0,0.20000080738366396
0C,38.5,0.2000010113077957
0C,39.0,0.20000125204853644
0C,39.5,0.20000149278927717
0C,40.0,0.20000208472725928
0C,40.5,0.20000355465834482
0C,41.0,0.20000590258253378
0C,41.5,0.20000912849982616
0C,42.0,0.20001275961093729
0C,42.5,0.2000163907220484
0C,43.0,0.20002002183315953
0C,43.5,0.20002365294427066
0C,44.0,0.20002809156473805
0C,44.5,0.20003454895859618
0C,45.0,0.2000410109956332
0C,45.5,0.20004747303267023
0C,46.0,0.20005397262557537
0C,46.5,0.20006056610815076
0C,47.0,0.20006725348039642
0C,47.5,0.2000739936655816
0C,48.0,0.20008073385076677
0C,48.5,0.20008747403595195
0C,49.0,0.20009421422113713
0C,49.5,0.2001009544063223
0C,50.0,0.20010771755361997
0C,50.5,0.20011448773880516
0C,51.0,0.20012125792399035
0C,51.5,0.20012802810917554
0C,52.0,0.2001353815449829
0C,52.5,0.20014419310734569
0C,53.0,0.20015399940364198
0C,53.5,0.20016380569993827
0C,54.0,0.20017395699960933
0C,54.5,0.20018497080771722
0C,55.0,0.20019684712426197
0C,55.5,0.20020958594924357
0C,56.0,0.200222525393688
0C,56.5,0.20023546483813245
0C,57.0,0.2002484042825769
0C,57.5,0.20026134372702134
0C,58.0,0.20027578883886785
0C,58.5,0.20029317828331228
0C,59.0,0.2003105677277567
0C,59.5,0.20032795717220114
0C,60.0,0.20034577974585832
0C,60.5,0.20036468514254738
0C,61.0,0.20038467336226828
0C,61.5,0.20040511799189792
0C,62.0,0.20042556262152755
0C,62.5,0.2004460072511572
0C,63.0,0.20046645188078682
0C,63.5,0.20048689651041646
0C,64.0,0.20050731166673907
0C,64.5,0.2005277227778502
0C,65.0,0.2005481338889613
0C,65.5,0.20056854500007243
0C,66.0,0.20058895176966485
0C,66.5,0.20060934768546057
0C,67.0,0.2006297360187939
0C,67.5,0.20065012435212726
0C,68.0,0.20067051826001128
0C,68.5,0.20069092610427203
0C,69.0,0.2007113478849095
0C,69.5,0.20073178360192367
0C,70.0,0.20075222397229406
0C,70.5,0.20077266434266444
0C,71.0,0.20079310471303483
0C,71.5,0.2008135450834052
0C,72.0,0.2008340039320072
0C,72.5,0.2008545080060813
0C,73.0,0.20087501208015537
0C,73.5,0.20089551615422946
0C,74.0,0.200916143964724
0C,74.5,0.20093708111626965
0C,75.0,0.20095832760886645
0C,75.5,0.20097976038664422
0C,76.0,0.201001193164422
0C,76.5,0.20102262594219977
0C,77.0,0.20104405871997755
0C,77.5,0.20106549149775532
0C,78.0,0.20109013597695585
0C,78.5,0.20111656616214105
0C,79.0,0.20114299634732624
0C,79.5,0.20116942653251144
0C,80.0,0.20119657541433933
0C,80.5,0.20122552103777394
0C,81.0,0.20125600844518135
0C,81.5,0.20128649585258876
0C,82.0,0.20131732121722215
0C,82.5,0.2013489914749205
0C,83.0,0.2013815066256838
0C,83.5,0.20141486666951205
0C,84.0,0.20144862685469725
0C,84.5,0.20148238703988244
0C,85.0,0.20151614722506764
0C,85.5,0.20154990741025283
0C,86.0,0.2015853540695208
0C,86.5,0.2016250169139957
0C,87.0,0.2016651195065883
0C,87.5,0.2017052220991809
0C,88.0,0.201745377876006
0C,88.5,0.20178566661341232
0C,89.0,0.20182608831139986
0C,89.5,0.20186661682991838
0C,90.0,0.2019071453484369
0C,90.5,0.20194767386695542
0C,91.0,0.20198820238547394
0C,91.5,0.20202873090399245
0C,92.0,0.20206927920047532
0C,92.5,0.20210985679306792
0C,93.0,0.20215043438566052
0C,93.5,0.20219101197825312
0C,94.0,0.20223159000927593
0C,94.5,0.20227216913637427
0C,95.0,0.20231274935954816
0C,95.5,0.2023533301002889
0C,96.0,0.20239391084102962
0C,96.5,0.20243449158177035
0C,97.0,0.20247507232251108
0C,97.5,0.2025156530632518
0C,98.0,0.2025562137470125
0C,98.5,0.2025967537470125
0C,99.0,0.2026372937470125
0C,99.5,0.2026778337470125
0C,100.0,0.20271837369319134
0C,100.5,0.20275891350481726
0C,101.0,0.20279945318189024
0C,101.5,0.20283999281151988
0C,102.0,0.2028805324411495
0C,102.5,0.20292107207077914
0C,103.0,0.20296161170040877
0C,103.5,0.2030021513300384
0C,104.0,0.203042710816903
0C,104.5,0.2030832895206067
0C,105.0,0.2031238682243104
0C,105.5,0.20316444692801408
0C,106.0,0.20320502788961478
0C,106.5,0.20324561449595796
0C,107.0,0.20328620674704362
0C,107.5,0.203326802117414
0C,108.0,0.20336739748778437
0C,108.5,0.20340799285815475
0C,109.0,0.20344858822852513
0C,109.5,0.2034891835988955
0C,110.0,0.20352975614605417
0C,110.5,0.2035702868867949
0C,111.0,0.20361081762753563
0C,111.5,0.20365134836827636
0C,112.0,0.2036918796232496
0C,112.5,0.2037324121638041
0C,113.0,0.20377294598993986
0C,113.5,0.20381348098993987
0C,114.0,0.20385401598993988
0C,114.5,0.2038945509899399
0C,115.0,0.2039350859899399
0C,115.5,0.2039756209899399
0C,116.0,0.2040161648500217
0C,116.5,0.2040567308603079
0C,117.0,0.20409730048993752
0C,117.5,0.20413787011956713
0C,118.0,0.20417844377737085
0C,118.5,0.2042190275056098
0C,119.0,0.204259621304284
0C,119.5,0.20430022517339338
0C,120.0,0.20434083350672672
0C,120.5,0.20438144184006005
0C,121.0,0.20442205017339338
0C,121.5,0.2044626585067267
0C,122.0,0.20450325884085288
0C,122.5,0.20454383917696115
0C,123.0,0.20458440565844263
0C,123.5,0.20462497213992412
0C,124.0,0.2046655407555682
0C,124.5,0.2047061147066188
0C,125.0,0.20474669399307596
0C,125.5,0.20478727861493962
0C,126.0,0.20482786842975442
0C,126.5,0.20486845824456923
0C,127.0,0.20490904805938404
0C,127.5,0.20494963787419884
0C,128.0,0.20499022768901365
0C,128.5,0.20503081750382846
0C,129.0,0.20507140731864326
0C,129.5,0.20511199713345807
0C,130.0,0.20515258694827287
0C,130.5,0.20519317676308768
0C,131.0,0.2052337665779025
0C,131.5,0.2052743563927173
0C,132.0,0.20531495464008737
0C,132.5,0.2053555668623096
0C,133.0,0.20539617908453184
0C,133.5,0.20543679130675407
0C,134.0,0.20547739789712885
0C,134.5,0.20551799040788504
0C,135.0,0.20555856883902263
0C,135.5,0.20559913328346707
0C,136.0,0.20563969772791152
0C,136.5,0.20568026217235597
0C,137.0,0.2057208266168004
0C,137.5,0.20576139106124486
0C,138.0,0.2058019625116508
0C,138.5,0.20584255147696057
0C,139.0,0.2058831461065902
0C,139.5,0.20592374073621983
0C,140.0,0.20596433450690307
0C,140.5,0.20600492613022037
0C,141.0,0.20604551560617168
0C,141.5,0.20608610293475704
0C,142.0,0.20612668886068297
0C,142.5,0.2061672747866089
0C,143.0,0.20620786071253483
0C,143.5,0.20624844663846076
0C,144.0,0.20628903268868248
0C,144.5,0.20632961904964367
0C,145.0,0.20637020571631035
0C,145.5,0.20641079238297702
0C,146.0,0.2064513790496437
0C,146.5,0.20649196571631037
0C,147.0,0.20653255238297705
0C,147.5,0.20657313904964372
0C,148.0,0.2066137491923176
0C,148.5,0.2066543777108361
0C,149.0,0.20669500622935463
0C,149.5,0.20673563474787315
0C,150.0,0.20677625611041064
0C,150.5,0.20681685958299553
0C,151.0,0.20685744516562782
0C,151.5,0.2068980188693315
0C,152.0,0.2069385925730352
0C,152.5,0.2069791662767389
0C,153.0,0.2070197399804426
0C,153.5,0.2070603136841463
0C,154.0,0.20710088876992816
0C,154.5,0.20714146728844668
0C,155.0,0.2071820458069652
0C,155.5,0.20722262432548372
0C,156.0,0.20726320250582803
0C,156.5,0.20730377984073686
0C,157.0,0.2073443563302102
0C,157.5,0.20738493197424804
0C,158.0,0.2074255073446184
0C,158.5,0.20746608271498876
0C,159.0,0.20750665808535912
0C,159.5,0.20754723345572948
0C,160.0,0.2075878161850459
0C,160.5,0.20762841731172743
0C,161.0,0.20766903064506076
0C,161.5,0.2077096439783941
0C,162.0,0.20775025731172742
0C,162.5,0.20779087064506074
0C,163.0,0.20783148397839407
0C,163.5,0.2078720973117274
0C,164.0,0.2079127000001244
0C,164.5,0.207953302592717
0C,165.0,0.20799390518530958
0C,165.5,0.20803450777790217
0C,166.0,0.20807511644545984
0C,166.5,0.20811574030043017
0C,167.0,0.2081563793428132
0C,167.5,0.20819702360207246
0C,168.0,0.20823766786133172
0C,168.5,0.20827831212059097
0C,169.0,0.20831895637985023
0C,169.5,0.2083596006391095
0C,170.0,0.2084002650433157
0C,170.5,0.20844096337664905
0C,171.0,0.2084816617099824
0C,171.5,0.20852236004331573
0C,172.0,0.2085630509357358
0C,172.5,0.20860372322587267
0C,173.0,0.20864437691372636
0C,173.5,0.20868501199929687
0C,174.0,0.20872564699929688
0C,174.5,0.2087662819992969
0C,175.0,0.2088069169992969
0C,175.5,0.20884755199929692
0C,176.0,0.20888817854945987
0C,176.5,0.2089287839750302
0C,177.0,0.20896938212317834
0C,177.5,0.20900998027132647
0C,178.0,0.20905058316524844
0C,178.5,0.20909119792360492
0C,179.0,0.20913182454639592
0C,179.5,0.20917246303362144
0C,180.0,0.2092131095151029
0C,180.5,0.20925375599658438
0C,181.0,0.20929440247806586
0C,181.5,0.20933504895954733
0C,182.0,0.2093756915452767
0C,182.5,0.20941632439162577
0C,183.0,0.2094569474985946
0C,183.5,0.20949757027637236
0C,184.0,0.20953819305415014
0C,184.5,0.20957881583192792
0C,185.0,0.2096194386097057
0C,185.5,0.20966006138748347
0C,186.0,0.20970067506878112
0C,186.5,0.2097412802539663
0C,187.0,0.20978188543915147
0C,187.5,0.20982249062433664
0C,188.0,0.2098631001629021
0C,188.5,0.20990372058491832
0C,189.0,0.20994435189038527
0C,189.5,0.20998499096445933
0C,190.0,0.2100256300385334
0C,190.5,0.21006626911260745
0C,191.0,0.2101069081866815
0C,191.5,0.21014754726075557
0C,192.0,0.2101881462823152
0C,192.5,0.21022864517258866
0C,193.0,0.2102691396170331
0C,193.5,0.21030963406147757
0C,194.0,0.21035014192221338
0C,194.5,0.2103906833236776
0C,195.0,0.21043125826587028
0C,195.5,0.21047186674879137
0C,196.0,0.21051249045249507
0C,196.5,0.21055311415619876
0C,197.0,0.21059373785990246
0C,197.5,0.21063436156360615
0C,198.0,0.2106749763262599
0C,198.5,0.21071556873628872
0C,199.0,0.21075613879369262
0C,199.5,0.21079670675665557
0C,200.0,0.21083727471961852
0C,200.5,0.21087784268258147
0C,201.0,0.21091841064554442
0C,201.5,0.21095897860850737
0C,202.0,0.2109995539520985
0C,202.5,0.21104014284098738
0C,203.0,0.21108073172987626
0C,203.5,0.21112132061876515
0C,204.0,0.21116190560147688
0C,204.5,0.21120248081874574
0C,205.0,0.2112430462705717
0C,205.5,0.21128360195695478
0C,206.0,0.21132415399399182
0C,206.5,0.21136470603102886
0C,207.0,0.2114052580680659
0C,207.5,0.21144581010510294
0C,208.0,0.21148637598404887
0C,208.5,0.21152697646776705
0C,209.0,0.2115676115562575
0C,209.5,0.21160824748218343
0C,210.0,0.21164888340810936
0C,210.5,0.2116895193340353
0C,211.0,0.21173015525996122
0C,211.5,0.21177079118588715
0C,212.0,0.21181140693982403
0C,212.5,0.2118519897176018
0C,213.0,0.21189257249537957
0C,213.5,0.21193315527315734
0C,214.0,0.2119737437856504
0C,214.5,0.21201434663493166
0C,215.0,0.2120549638210011
0C,215.5,0.21209559534385877
0C,216.0,0.2121362310845995
0C,216.5,0.21217686682534023
0C,217.0,0.21221750256608096
0C,217.5,0.2122581383068217
0C,218.0,0.21229875792725672
0C,218.5,0.21233933724692744
0C,219.0,0.2123798789135941
0C,219.5,0.21242042058026078
0C,220.0,0.21246096224692745
0C,220.5,0.21250150391359413
0C,221.0,0.2125420455802608
0C,221.5,0.21258258724692747
